web_scraper_order,web_scraper_start_url,container_links_gaaraas2,marque,modèle,année,prix,kilométrage,type_boite_vitesse,région
"1786625214-1","https://www.gaaraas.com/fr/users/dakar-auto?page=13","https://www.gaaraas.com/fr/vehicle_listings/annonce-audi-s3-dakar-dakar-4137","Audi S3","Audi S3","2007","2 000 000","120 000 km","Manuelle","Dakar"
"1786625216-2","https://www.gaaraas.com/fr/users/dakar-auto?page=13","https://www.gaaraas.com/fr/vehicle_listings/annonce-fiat-stilo-dakar-dakar-2508","Fiat Stilo","Fiat Stilo","2007","2 700 000","160 000 km","Manuelle","Dakar"
"1786625219-3","https://www.gaaraas.com/fr/users/dakar-auto?page=13","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-2896","Toyota RAV4","Toyota RAV4","2006","3 500 000","140 000 km","Manuelle","Dakar"
"1786625222-4","https://www.gaaraas.com/fr/users/dakar-auto?page=13","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1748","Peugeot 307","Peugeot 307","2007","2 100 000","175 598 km","Manuelle","Dakar"
"1786625225-5","https://www.gaaraas.com/fr/users/dakar-auto?page=13","https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-878","Dacia Logan","Dacia Logan","2008","2 600 000","137 000 km","Manuelle","Dakar"
"1786625232-6","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-4348","Renault Megane","Renault Megane","2008","1 850 000","120 000 km","Manuelle","Dakar"
"1786625234-7","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2611","Citroen C4","Citroen C4","2008","2 100 000","90 925 km","Manuelle","Dakar"
"1786625237-8","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-2758","Peugeot 308","Peugeot 308","2012","3 900 000","160 000 km","Manuelle","Dakar"
"1786625240-9","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-xsara-dakar-dakar-3025","Citroen Xsara","Citroen Xsara","2006","1 800 000","160 000 km","Manuelle","Dakar"
"1786625243-10","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-871","Ford Escape","Ford Escape","2014","8 200 000","105 000 km","Manuelle","Dakar"
"1786625246-11","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-st-dakar-dakar-2887","Ford Focus ST","Ford Focus ST","2012","3 300 000","140 000 km","Automatique","Dakar"
"1786625248-12","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1665","Renault Megane","Renault Megane","2007","2 700 000","180 000 km","Manuelle","Dakar"
"1786625251-13","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-305-dakar-dakar-578","Peugeot 305","Peugeot 305","2004","1 600 000","128 000 km","Manuelle","Dakar"
"1786625254-14","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-1327","Citroen Berlingo","Citroen Berlingo","2006","2 400 000","180 000 km","Manuelle","Dakar"
"1786625256-15","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-4388","Mitsubishi L200","Mitsubishi L200","2011","6 000 000","120 000 km","Manuelle","Dakar"
"1786625259-16","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-200sx-dakar-dakar-746","Nissan 200SX","Nissan 200SX","2006","1 600 000","180 000 km","Manuelle","Dakar"
"1786625262-17","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-3635","Peugeot 308","Peugeot 308","2010","2 900 000","120 000 km","Manuelle","Dakar"
"1786625265-18","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-405-dakar-dakar-4173","Peugeot 405","Peugeot 405","2005","1 900 000","120 000 km","Manuelle","Dakar"
"1786625268-19","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-681","Peugeot 308","Peugeot 308","2008","2 700 000","160 000 km","Manuelle","Dakar"
"1786625271-20","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-191","Toyota RAV4","Toyota RAV4","2010","9 600 000","180 000 km","Automatique","Dakar"
"1786625275-21","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-3449","Renault 19","Renault 19","1989","1 500 000","140 000 km","Manuelle","Dakar"
"1786625278-22","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1119","Peugeot 406","Peugeot 406","2004","2 700 000","120 000 km","Manuelle","Dakar"
"1786625281-23","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-jeep-wrangler-dakar-dakar-2454","Jeep Wrangler","Jeep Wrangler","2013","20 000 000","100 000 km","Automatique","Dakar"
"1786625283-24","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2915","Peugeot 307","Peugeot 307","2005","2 100 000","160 000 km","Manuelle","Dakar"
"1786625286-25","https://www.gaaraas.com/fr/users/dakar-auto?page=12","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-205-dakar-dakar-1934","Peugeot 205","Peugeot 205","2000","1 400 000","160 000 km","Manuelle","Dakar"
"1786625294-26","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-1666","Citroen C3","Citroen C3","2007","2 400 000","180 000 km","Manuelle","Dakar"
"1786625297-27","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-874","Hyundai Tucson","Hyundai Tucson","2006","4 000 000","298 000 km","Manuelle","Dakar"
"1786625300-28","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-560","Toyota RAV4","Toyota RAV4","2007","5 200 000","120 000 km","Manuelle","Dakar"
"1786625303-29","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3183","Ford Escape","Ford Escape","2011","5 800 000","0 km","Automatique","Dakar"
"1786625306-30","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-1191","Renault Scenic","Renault Scenic","2008","2 200 000","16 000 km","Manuelle","Dakar"
"1786625309-31","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-jeep-patriot-dakar-dakar-2023","Jeep Patriot","Jeep Patriot","2015","9 500 000","51 200 km","Automatique","Dakar"
"1786625311-32","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-2290","Peugeot 406","Peugeot 406","2003","2 400 000","160 000 km","Manuelle","Dakar"
"1786625314-33","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-2116","Dacia Logan","Dacia Logan","2009","2 800 000","500 000 km","Manuelle","Dakar"
"1786625317-34","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-lada-niva-dakar-dakar-1919","Lada Niva","Lada Niva","2008","1 500 000","160 000 km","Manuelle","Dakar"
"1786625320-35","https://www.gaaraas.com/fr/users/dakar-auto?page=11","https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-sandero-dakar-dakar-2117","Dacia Sandero","Dacia Sandero","2010","2 200 000","160 000 km","Manuelle","Dakar"
